Model,Model_Category,1-Books & Academic,10-Labels & Screens,2-Reports & Memos,3-Marketing & Editorial,4-Legal & Public Notices,5-Forms & Personal Records,6-Receipts & Transactions,7-Certificates & Medical,8-Handwritten Pages,9-Charts & Diagrams,Average
Step3-VL-10B,On-Device LMMs,54.65,63.63,68.82,73.03,67.32,51.66,37.26,59.51,42.11,62.29,58.03
InternVL3_5-8B,On-Device LMMs,62.68,65.04,81.45,74.19,72.17,53.34,39.70,51.69,55.43,65.52,62.12
MiniCPM-o-4_5,On-Device LMMs,73.38,46.72,79.24,81.48,71.52,51.66,35.85,57.24,55.61,71.11,62.38
Qwen3_5-9B,On-Device LMMs,82.66,72.47,79.46,82.05,78.52,68.27,61.80,78.62,63.72,77.84,74.54
gpt-5_4-0305-global,On-Server LMMs,73.31,77.72,81.30,75.09,72.65,53.51,43.19,39.58,62.37,76.12,65.48
qwen-vl-max-latest,On-Server LMMs,80.54,71.21,81.25,78.91,71.97,53.37,39.10,42.18,63.72,77.06,65.93
claude-sonnet-4-6,On-Server LMMs,80.09,79.42,81.10,78.53,73.76,54.57,42.57,52.72,61.60,77.84,68.22
claude-opus-4-6-20260205,On-Server LMMs,79.32,79.27,82.66,79.60,75.97,54.71,41.46,58.76,57.08,74.76,68.36
gemini-3_1-flash-lite-preview,On-Server LMMs,87.89,70.18,81.60,77.33,76.43,57.19,44.48,71.71,67.33,73.29,70.74
kimi-k2_5,On-Server LMMs,86.61,80.59,86.26,87.05,77.05,55.99,44.30,56.52,71.06,85.88,73.13
kimi-k2_6,On-Server LMMs,85.34,78.19,85.42,86.52,78.44,60.68,48.57,56.22,70.34,84.54,73.43
gemini-3_1-pro-preview,On-Server LMMs,87.77,84.87,83.05,81.61,78.66,66.94,58.12,79.22,72.57,80.38,77.32
doubao-seed-2-0-pro-260215,On-Server LMMs,87.38,80.70,84.39,81.11,79.01,74.31,61.61,74.21,73.11,80.38,77.62
qwen3_5-plus,On-Server LMMs,85.35,84.03,84.79,83.85,80.16,77.15,65.32,75.90,67.51,81.53,78.56
qwen3_6-plus,On-Server LMMs,86.36,82.20,83.09,84.55,81.71,80.01,67.92,73.89,67.25,83.30,79.03
